Date,Open,High,Low,Close,Adj Close,Volume
11/18/2017,1.51136,1.67678,1.49823,1.67433,1.67433,32167300
11/19/2017,1.67336,1.70123,1.5678,1.61377,1.61377,38081700
11/20/2017,1.62559,1.66065,1.55561,1.62445,1.62445,12994500
11/21/2017,1.65817,1.65967,1.54984,1.57406,1.57406,5440790
11/22/2017,1.59049,1.62137,1.55823,1.61175,1.61175,7177000
11/23/2017,1.6106,1.61668,1.53759,1.5487,1.5487,8392640
11/24/2017,1.56953,1.82018,1.55558,1.71771,1.71771,12155400
11/25/2017,1.71697,1.95764,1.69397,1.87387,1.87387,12839900
11/26/2017,1.89474,1.93531,1.82674,1.85313,1.85313,9056850
11/27/2017,1.87083,1.94727,1.78963,1.94298,1.94298,22826600
11/28/2017,1.95885,1.95885,1.86804,1.91711,1.91711,36377700
11/29/2017,1.92434,2.05159,1.68317,1.75153,1.75153,43765500
11/30/2017,1.76144,2.05291,1.76144,1.99697,1.99697,31559500
12/1/2017,1.99695,2.13701,1.92297,2.07023,2.07023,28867200
12/2/2017,2.07706,2.11566,1.99689,2.08416,2.08416,24332700
12/3/2017,2.08541,2.38115,2.05419,2.22725,2.22725,35163500
12/4/2017,2.25809,2.57703,2.25809,2.49168,2.49168,41226200
12/5/2017,2.50181,2.73179,2.50181,2.5953,2.5953,49190000
12/6/2017,2.58043,2.77881,2.34588,2.58769,2.58769,41731500
12/7/2017,2.5494,2.91443,2.48943,2.77995,2.77995,28297900
12/8/2017,2.7661,2.86899,2.25957,2.83067,2.83067,38648500
12/9/2017,2.82602,2.86734,2.33035,2.61043,2.61043,27217000
12/10/2017,2.66134,2.69544,2.2117,2.48337,2.48337,19258500
12/11/2017,2.51302,2.82448,2.50335,2.70665,2.70665,19427000
12/12/2017,2.72645,2.7783,2.61343,2.68475,2.68475,24523200
12/13/2017,2.68708,2.87505,2.57144,2.7781,2.7781,28429500
12/14/2017,2.77344,3.15874,2.77266,3.15874,3.15874,40335300
12/15/2017,3.1567,4.41125,3.14282,3.99615,3.99615,52745900
12/16/2017,4.16847,4.72541,3.9184,4.66465,4.66465,54002400
12/17/2017,4.66934,6.75043,4.66934,5.75672,5.75672,98159600
12/18/2017,5.7924,6.22132,5.28097,5.61585,5.61585,66623700
12/19/2017,5.647,6.54532,5.57976,5.79233,5.79233,66695200
12/20/2017,5.78863,5.78863,4.93317,5.17621,5.17621,47866900
12/21/2017,5.18491,5.69816,4.81415,5.18001,5.18001,46905500
12/22/2017,5.20546,5.21274,3.51331,4.33615,4.33615,36672600
12/23/2017,4.39496,5.13451,4.30761,4.83926,4.83926,32930300
12/24/2017,4.74184,5.28568,4.19865,5.28568,5.28568,43676900
12/25/2017,5.30858,6.95522,5.25054,6.56001,6.56001,66374400
12/26/2017,6.55928,10.6221,6.49638,9.02942,9.02942,167812992
12/27/2017,9.25426,11.3022,8.48659,10.107,10.107,167808000
12/28/2017,10.1263,10.1964,8.14928,9.32141,9.32141,109298000
12/29/2017,9.31862,9.53485,8.53682,8.8076,8.8076,70849400
12/30/2017,8.71377,8.7611,7.18794,7.84101,7.84101,72933904
12/31/2017,7.76331,8.83912,7.70899,8.63558,8.63558,74927904
1/1/2018,8.62953,8.70057,7.95922,8.41461,8.41461,66422800
1/2/2018,8.4577,9.12259,8.21718,8.83777,8.83777,104789000
1/3/2018,8.77014,9.58078,8.52918,9.53588,9.53588,108852000
1/4/2018,9.44584,9.53849,8.85413,9.21399,9.21399,158819008
1/5/2018,9.14568,16.717699,9.09468,14.9172,14.9172,341504992
1/6/2018,14.8689,23.5082,14.8212,22.7598,22.7598,637020992
1/7/2018,22.7691,22.7691,18.2425,18.656799,18.656799,258050000
1/8/2018,18.6465,19.2167,15.3471,18.2609,18.2609,296617984
1/9/2018,18.174,20.320299,16.801399,17.4118,17.4118,194750000
1/10/2018,17.707899,17.707899,15.1708,17.3908,17.3908,146582000
1/11/2018,17.566601,23.1525,15.2863,21.0427,21.0427,389228000
1/12/2018,21.4758,24.9121,19.930401,22.316299,22.316299,387537984
1/13/2018,22.345301,23.666901,21.3734,22.1744,22.1744,181676000
1/14/2018,22.2535,22.2535,19.138,20.7773,20.7773,129239000
1/15/2018,20.8004,23.604799,19.3309,19.564699,19.564699,244154000
1/16/2018,19.634001,19.634001,10.435,13.8919,13.8919,399951008
1/17/2018,13.623,15.5378,9.65534,14.2032,14.2032,299411008
1/18/2018,14.2506,15.9596,13.5127,14.2804,14.2804,204899008
1/19/2018,14.3106,15.6351,13.989,14.9406,14.9406,139882000
1/20/2018,15.0342,16.652399,15.0342,16.1903,16.1903,156744992
1/21/2018,16.248899,16.248899,13.3591,14.0683,14.0683,141562000
1/22/2018,14.1987,14.4503,11.9146,13.0146,13.0146,138026000
1/23/2018,13.0015,13.9627,11.785,13.0935,13.0935,91706200
1/24/2018,13.1906,14.1906,12.7892,13.6287,13.6287,105736000
1/25/2018,13.7605,14.1374,13.065,13.2284,13.2284,105648000
1/26/2018,13.2109,13.5905,12.2947,13.2182,13.2182,113429000
1/27/2018,13.2332,13.4414,12.8942,13.253,13.253,84009400
1/28/2018,13.3017,13.8125,13.2038,13.5402,13.5402,93871104
1/29/2018,13.5454,13.6727,12.677,12.7645,12.7645,71294304
1/30/2018,12.7736,12.7736,11.0571,11.2507,11.2507,59389600
1/31/2018,11.2683,11.4132,10.5684,11.145,11.145,50435000
2/1/2018,11.1783,11.3944,8.70742,9.51584,9.51584,82984200
2/2/2018,9.40796,10.4585,7.21813,9.65229,9.65229,91468200
2/3/2018,9.69666,10.2724,8.61168,9.74968,9.74968,56556200
2/4/2018,9.74564,9.74564,8.10275,8.45864,8.45864,49990000
2/5/2018,8.42753,8.55172,6.12961,6.70503,6.70503,55276900
2/6/2018,6.80627,8.55554,5.59007,8.28885,8.28885,97189904
2/7/2018,8.31528,9.22497,7.35103,8.09501,8.09501,77970304
2/8/2018,8.09372,8.72122,8.09372,8.5955,8.5955,82496000
2/9/2018,8.60666,9.88927,8.34315,9.73046,9.73046,9284
2/10/2018,9.73273,10.3632,8.84852,9.25597,9.25597,80123200
2/11/2018,9.20087,9.34548,8.14445,8.70491,8.70491,68554600
2/12/2018,8.71145,9.40375,8.71145,9.32247,9.32247,50792600
2/13/2018,9.31767,9.34794,8.77337,8.98678,8.98678,41593400
2/14/2018,9.01591,10.6498,8.99024,10.4006,10.4006,68781600
2/15/2018,10.3907,11.2839,10.1012,10.9311,10.9311,108962000
2/16/2018,10.9149,11.2016,10.4295,11.2016,11.2016,71131800
2/17/2018,11.0765,11.8707,10.9528,11.6893,11.6893,76093504
2/18/2018,11.6926,11.7003,10.6801,10.7024,10.7024,62044700
2/19/2018,10.6668,11.1949,10.6515,11.0757,11.0757,54898800
2/20/2018,11.0913,11.1927,9.7934,9.90451,9.90451,66512400
2/21/2018,9.87767,10.1942,9.14725,9.38079,9.38079,55087600
2/22/2018,9.40474,9.80875,8.71297,8.90403,8.90403,47216100
2/23/2018,8.8734,9.73303,8.66057,9.69211,9.69211,53626800
2/24/2018,9.68752,9.83537,8.77797,9.14191,9.14191,48709200
2/25/2018,9.15324,9.49441,8.94258,9.3466,9.3466,43814500
2/26/2018,9.36926,10.065,9.13015,9.90232,9.90232,53540300
2/27/2018,9.96553,11.0962,9.81859,10.6599,10.6599,97184400
2/28/2018,10.6949,11.1828,10.3926,10.4382,10.4382,69036400
3/1/2018,10.4482,10.6714,10.3296,10.5097,10.5097,72474200
3/2/2018,10.4569,10.5404,10.142,10.2248,10.2248,46449100
3/3/2018,10.2857,10.4455,10.1251,10.2179,10.2179,40001900
3/4/2018,10.2072,10.3898,9.90116,10.3481,10.3481,37886900
3/5/2018,10.4038,10.4355,10.101,10.1105,10.1105,38605100
3/6/2018,10.1548,10.1548,9.15128,9.38438,9.38438,38182600
3/7/2018,9.39529,10.1268,8.23691,9.03488,9.03488,79740800
3/8/2018,9.03568,9.13749,8.11839,8.31044,8.31044,48535100
3/9/2018,8.26137,8.33242,7.17423,8.31307,8.31307,46893300
3/10/2018,8.26712,8.35451,7.63354,7.67166,7.67166,41645000
3/11/2018,7.64875,8.41945,7.38076,8.27238,8.27238,45451700
3/12/2018,8.29911,8.54762,7.74369,8.03927,8.03927,51188100
3/13/2018,7.99896,11.0016,7.90244,10.1152,10.1152,216111008
3/14/2018,10.13,10.6719,8.55077,8.95921,8.95921,124112000
3/15/2018,8.94456,9.40132,8.41953,9.09908,9.09908,104531000
3/16/2018,9.13251,9.39258,8.63961,9.11132,9.11132,97626000
3/17/2018,9.19896,9.50244,8.66498,8.98774,8.98774,94679904
3/18/2018,8.95742,8.96295,7.85848,8.95185,8.95185,94840304
3/19/2018,9.09,9.26137,8.49606,8.99274,8.99274,97938896
3/20/2018,8.98718,9.24135,8.65527,9.16093,9.16093,96919504
3/21/2018,9.16654,10.2933,9.08083,9.982,9.982,131761000
3/22/2018,10.0285,10.9059,9.57252,10.0663,10.0663,112305000
3/23/2018,10.0498,11.9768,9.53545,11.7376,11.7376,157246000
3/24/2018,11.7061,14.8387,11.6027,13.0891,13.0891,255358000
3/25/2018,13.1352,14.2326,12.5686,12.7831,12.7831,189518000
3/26/2018,12.9135,12.9135,10.9571,12.0614,12.0614,132353000
3/27/2018,12.1189,12.2337,10.8771,11.5083,11.5083,102579000
3/28/2018,11.5192,12.246,11.3898,11.6404,11.6404,92931200
3/29/2018,11.6961,11.7291,10.1727,10.1961,10.1961,81352096
3/30/2018,10.1692,10.7481,9.74429,10.3504,10.3504,75551600
3/31/2018,10.3929,11.39,10.2868,11.0559,11.0559,89256304
4/1/2018,11.1519,11.2971,10.3783,11.0662,11.0662,87918096
4/2/2018,11.0651,12.6488,11.0152,12.6207,12.6207,116071000
4/3/2018,12.6446,13.9532,12.3336,13.3607,13.3607,141287008
4/4/2018,13.2926,13.4408,12.0019,12.1904,12.1904,119600000
4/5/2018,12.1985,12.6235,12.136,12.4536,12.4536,103864000
4/6/2018,12.4927,12.6431,12.0389,12.2584,12.2584,81989696
4/7/2018,12.2668,12.6306,12.2668,12.4557,12.4557,87924896
4/8/2018,12.5125,12.5125,12.1159,12.1176,12.1176,79045000
4/9/2018,12.1208,12.5545,11.6104,11.8683,11.8683,80643696
4/10/2018,11.9055,12.4015,11.8491,12.0362,12.0362,87608200
4/11/2018,12.0416,12.2309,11.7789,12.2309,12.2309,92759696
4/12/2018,12.4234,12.9525,11.9088,12.9525,12.9525,133239000
4/13/2018,13.1525,13.7621,12.7534,13.5368,13.5368,148215008
4/14/2018,13.4547,13.8401,12.99,13.2444,13.2444,94980800
4/15/2018,13.2978,13.5801,12.9225,13.0588,13.0588,115373000
4/16/2018,13.0473,13.0557,12.0845,12.21,12.21,75965504
4/17/2018,12.2264,12.4589,11.6739,11.7694,11.7694,77537400
4/18/2018,11.7939,12.3947,11.5253,12.2757,12.2757,90015104
4/19/2018,12.2629,12.4339,12.0404,12.3526,12.3526,78661696
4/20/2018,12.353,12.718,11.9293,12.5752,12.5752,86036096
4/21/2018,12.5694,13.6732,12.4373,13.3784,13.3784,141582000
4/22/2018,13.3543,13.3543,12.862,12.8759,12.8759,84873000
4/23/2018,12.8777,13.8252,12.8455,13.6253,13.6253,132041000
4/24/2018,13.6482,15.6246,13.6482,15.266,15.266,165599008
4/25/2018,15.212,15.9259,13.0464,13.2909,13.2909,144820992
4/26/2018,13.3472,14.7088,13.2471,14.6536,14.6536,127788000
4/27/2018,14.6469,14.7717,14.1838,14.3291,14.3291,101995000
4/28/2018,14.2831,15.3286,14.2255,15.2001,15.2001,122360000
4/29/2018,15.1642,15.3975,14.5557,15.0562,15.0562,105495000
4/30/2018,15.0627,15.1567,14.1093,14.3121,14.3121,83765800
5/1/2018,14.3146,14.3146,13.6148,14.1643,14.1643,75433904
5/2/2018,14.1702,14.4092,13.9404,14.4092,14.4092,80730304
5/3/2018,14.4416,14.7787,14.2114,14.6526,14.6526,104726000
5/4/2018,14.628,14.6846,14.2445,14.3295,14.3295,79940496
5/5/2018,14.3193,14.5032,14.2119,14.3687,14.3687,71502096
5/6/2018,14.3623,14.7992,13.6763,13.9426,13.9426,74731600
5/7/2018,13.939,13.97,12.9945,13.7025,13.7025,59800200
5/8/2018,13.7046,13.9228,13.1482,13.529,13.529,57865500
5/9/2018,13.5245,14.8129,13.0799,14.6602,14.6602,99046304
5/10/2018,14.675,15.0456,13.8184,13.8184,13.8184,68250000
5/11/2018,13.8805,14.0941,12.5895,12.9939,12.9939,57027500
5/12/2018,12.9727,13.1472,12.2539,12.9439,12.9439,44001000
5/13/2018,13.008,13.554,12.743,13.1187,13.1187,70816496
5/14/2018,13.1583,13.1653,12.3564,12.8707,12.8707,49317700
5/15/2018,12.8539,13.2723,12.5144,12.5678,12.5678,45696200
5/16/2018,12.5581,12.5674,11.9511,12.2605,12.2605,35233200
5/17/2018,12.3156,12.971,12.2736,12.465,12.465,54251500
5/18/2018,12.3614,16.220501,12.0531,15.1354,15.1354,243260992
5/19/2018,15.1346,15.621,13.9932,14.2457,14.2457,138320992
5/20/2018,14.3502,14.3689,13.6853,14.1178,14.1178,95390200
5/21/2018,14.1254,14.7879,13.8167,14.7223,14.7223,97367296
5/22/2018,14.5709,14.8351,13.7492,13.9255,13.9255,86545104
5/23/2018,13.8529,13.9252,12.3343,12.6262,12.6262,68215200
5/24/2018,12.61,13.1909,12.2015,13.0003,13.0003,54410900
5/25/2018,13.0326,13.3706,12.6353,13.008,13.008,49173800
5/26/2018,12.963,13.1964,12.6959,12.7591,12.7591,43258400
5/27/2018,12.7857,12.7923,12.3291,12.6058,12.6058,36691600
5/28/2018,12.5996,12.7528,11.7031,11.8943,11.8943,33398400
5/29/2018,11.9555,12.6752,11.7671,12.5717,12.5717,48807700
5/30/2018,12.6084,12.7969,12.2739,12.5709,12.5709,43146300
5/31/2018,12.5618,14.2194,12.4138,14.1902,14.1902,93931696
6/1/2018,14.2517,14.4114,13.7893,14.2408,14.2408,80342200
6/2/2018,14.3192,14.846,14.0087,14.6797,14.6797,87983000
6/3/2018,14.6819,14.9508,14.3283,14.566,14.566,82182304
6/4/2018,14.6756,14.6756,13.6655,14.2611,14.2611,58219100
6/5/2018,14.2539,15.6748,14.2102,15.5993,15.5993,101474000
6/6/2018,15.599,17.360701,15.3499,17.247499,17.247499,157806000
6/7/2018,17.2665,17.438101,16.1754,16.2631,16.2631,131031000
6/8/2018,16.349501,16.625099,15.8307,16.2738,16.2738,94394600
6/9/2018,16.311899,16.890301,15.9632,15.9632,15.9632,85299904
6/10/2018,15.9286,15.9286,13.5923,14.1842,14.1842,79288200
6/11/2018,14.1355,15.3835,13.7859,15.3835,15.3835,83039696
6/12/2018,15.5247,16.158701,14.9922,15.2262,15.2262,116016000
6/13/2018,15.2969,15.7184,14.0262,14.5891,14.5891,97415904
6/14/2018,14.6403,15.0259,14.14,14.8953,14.8953,80329504
6/15/2018,14.882,15.6469,14.6911,15.0481,15.0481,79159296
6/16/2018,14.9363,15.9814,14.9363,15.8092,15.8092,81354704
6/17/2018,15.779,17.232599,15.7641,16.5788,16.5788,107346000
6/18/2018,16.6217,17.1863,16.221201,16.8797,16.8797,106776000
6/19/2018,16.7801,16.9368,16.208,16.6996,16.6996,80738096
6/20/2018,16.760799,16.863199,15.7411,16.061899,16.061899,65190300
6/21/2018,16.072201,17.268299,15.9165,17.053301,17.053301,122980000
6/22/2018,17.0714,17.2437,15.2608,15.5939,15.5939,113751000
6/23/2018,15.6017,16.0592,15.3647,15.5512,15.5512,70431104
6/24/2018,15.5709,15.5946,13.5444,14.4476,14.4476,96256304
6/25/2018,14.457,15.0659,13.8339,14.9209,14.9209,60358000
6/26/2018,14.9329,14.9852,13.8678,14.12,14.12,37503400
6/27/2018,14.0672,14.3056,13.8941,14.0501,14.0501,44136600
6/28/2018,14.0309,14.7498,13.8608,14.1246,14.1246,67290496
6/29/2018,14.1743,14.6469,13.7797,14.5086,14.5086,52784600
6/30/2018,14.5491,15.1824,14.2915,14.6573,14.6573,59676900
7/1/2018,14.6762,14.6869,14.1442,14.4041,14.4041,38434400
7/2/2018,14.3977,14.823,14.057,14.5706,14.5706,55614000
7/3/2018,14.5634,14.7847,14.0759,14.1715,14.1715,60657300
7/4/2018,14.2262,14.3288,13.908,14.0055,14.0055,37043700
7/5/2018,14.0396,14.1391,13.652,13.8505,13.8505,41185300
7/6/2018,13.9761,13.9864,13.2766,13.5296,13.5296,33466000
7/7/2018,13.5409,14.4048,13.4259,14.4048,14.4048,79974896
7/8/2018,14.3979,14.4223,13.9345,13.9919,13.9919,60275400
7/9/2018,14.0384,14.0883,13.6341,13.6645,13.6645,36874000
7/10/2018,13.6144,13.6607,12.6719,12.7613,12.7613,36507100
7/11/2018,12.8249,12.8866,12.2516,12.7049,12.7049,38867700
7/12/2018,12.6919,12.7735,11.9016,12.0706,12.0706,26008100
7/13/2018,12.0935,12.4332,12.0434,12.1801,12.1801,29709900
7/14/2018,12.193,12.2735,11.9691,12.0965,12.0965,21534200
7/15/2018,12.0883,12.3967,12.0185,12.2891,12.2891,26346900
7/16/2018,12.3099,13.3857,12.2029,13.2373,13.2373,47198600
7/17/2018,13.3579,13.8934,12.8698,13.7128,13.7128,74443200
7/18/2018,13.7399,13.8572,12.7239,12.8648,12.8648,75446304
7/19/2018,12.8251,13.3511,12.7696,12.918,12.918,49364800
7/20/2018,12.9185,12.971,11.8856,12.0709,12.0709,40466000
7/21/2018,12.0747,12.4556,11.9021,12.1853,12.1853,28726700
7/22/2018,12.1888,12.274,11.9627,12.1199,12.1199,20692400
7/23/2018,12.1368,12.3381,11.9129,12.0199,12.0199,28137700
7/24/2018,12.0222,12.2462,11.6484,12.1451,12.1451,46762700
7/25/2018,12.087,13.4667,12.0793,12.9394,12.9394,72083200
7/26/2018,12.9215,13.5521,12.9115,13.3973,13.3973,61881400
7/27/2018,13.3925,14.0335,13.0581,13.9227,13.9227,66040700
7/28/2018,14.0256,14.8694,13.7223,14.6017,14.6017,75159904
7/29/2018,14.5981,14.6984,13.66,14.0212,14.0212,56547100
7/30/2018,13.9477,13.9477,13.0665,13.2169,13.2169,35991600
7/31/2018,13.2111,14.0643,13.0368,13.7754,13.7754,66537000
8/1/2018,13.7696,14.062,13.2341,13.5739,13.5739,53833700
8/2/2018,13.6308,14.184,13.4064,14.1769,14.1769,50481200
8/3/2018,14.088,14.2059,13.6405,14.1346,14.1346,70449300
8/4/2018,14.1127,14.4551,13.5691,13.8424,13.8424,60865200
8/5/2018,13.8587,13.8978,13.2875,13.6232,13.6232,43000300
8/6/2018,13.6876,13.9757,13.4964,13.6991,13.6991,46799600
8/7/2018,13.6585,13.9088,13.1286,13.1461,13.1461,45119500
8/8/2018,13.1289,13.1392,11.9807,12.1437,12.1437,44898500
8/9/2018,12.1616,12.8719,12.1001,12.858,12.858,41389000
8/10/2018,12.7681,12.8211,11.8073,12.1308,12.1308,37026400
8/11/2018,12.1106,12.1588,11.3686,11.7366,11.7366,29253100
8/12/2018,11.6876,11.8647,11.5047,11.7418,11.7418,23290300
8/13/2018,11.7712,11.9467,10.1841,10.2282,10.2282,34827100
8/14/2018,10.3045,10.3045,8.66266,9.42011,9.42011,39515200
8/15/2018,9.40796,10.5918,9.40321,9.46301,9.46301,42994900
8/16/2018,9.53052,9.98495,9.39382,9.80233,9.80233,24709700
8/17/2018,9.7823,10.8678,9.72495,10.8678,10.8678,37502400
8/18/2018,10.7849,10.9651,9.54027,9.90758,9.90758,27803700
